nombre,id_mm,od_pulgadas,od_mm,od_fr,id_pulgadas,id_fr,longitud_cm,dmso_compatible
Echelon 10,0.43,0.028,0.71,2.1,0.017,1.3,150,1
Rebar-18,0.53,0.036,0.91,2.7,0.021,1.6,153,1
Marathon,0.33,0.0354,0.9,2.7,0.013,1.0,165,1
Apollo,0.33,0.0354,0.9,2.7,0.013,1.0,165,1
Phenom 021,0.53,0.034,0.86,2.6,0.021,1.6,150/160,0
Phenom 027,0.69,0.041,1.04,3.1,0.027,2.1,150,0
Excelsior SL-10,0.42,0.032,0.81,2.4,0.0165,1.3,150,1
XT-17,0.43,0.03,0.76,2.3,0.017,1.3,150,1
Headway Duo 1 marker,0.33,0.0276,0.7,2.1,0.013,1.0,167,1
Headway Duo 2 markers,0.42,0.0276,0.7,2.1,0.0165,1.3,156,1
Progreat 2.7,0.64,0.0381,0.97,2.9,0.025,1.9,110/130,1
Via 17,0.44,0.032,0.81,2.4,0.0175,1.3,154,1
Gama17 ,0.43,0.033,0.84,2.5,0.017,1.3,160,1
Vasco+ 18,0.53,0.035,0.89,2.7,0.021,1.6,155,1
Sonic 1.2,0.23,0.035,0.89,2.7,0.009,0.7,167/190,1
Magic 1.2,0.23,0.0356,0.9,2.7,0.009,0.7,165/180,0
Sofia Plus,1.78,0.0825,2.1,6.3,0.07,5.3,125/131,1
Sofia 6f,1.78,0.0825,2.1,6.3,0.07,5.3,115,1
Vecta71,1.8,0.085,2.16,6.5,0.071,5.4,115/125/132,0
Vecta74,1.88,0.087,2.21,6.6,0.074,5.6,115/125/132,0
Esperance 5F,1.4,0.066,1.68,5.0,0.055,4.2,115/125/131,0
Esperance 6F,1.8,0.082,2.08,6.2,0.071,5.4,115/125/131,0
Fargo MAX 070 ,1.78,0.079,2.01,6.0,0.07,5.3,105/115/125,0
Fargo 058,1.47,0.079,2.01,6.0,0.058,4.4,105/115/125,0
Catalyst 5F,1.47,0.073,1.85,5.6,0.058,4.4,115/132,0
Catalyst 7F,1.73,0.0825,2.1,6.3,0.068,5.2,115/125/132,0
AXS Infinity LS PLUS,2.31,0.105,2.67,8.0,0.091,6.9,70/80/90,0
AXS Infinity LS ,2.24,0.105,2.67,8.0,0.088,6.7,70/80/90,0
Flowgate 2 ,2.13,0.105,2.67,8.0,0.084,6.4,85/95,0
Chaperon 6F,1.8,0.079,2.01,6.0,0.071,5.4,95,0
Rist 079,2.01,0.093,2.36,7.1,0.079,6.0,95/100/105,0
Rist 071,1.8,0.087,2.21,6.6,0.071,5.4,95/100/105,0
Navien 072,1.83,0.084,2.13,6.4,0.072,5.5,95/105/115/125,0
Benchmark BMX 81,2.06,0.092,2.34,7.0,0.081,6.2,95/105/115,0
Benchmark 071,1.8,0.079,2.01,6.0,0.071,5.4,95/105/115,0
Benchmark BMX 96,2.44,0.109,2.77,8.0,0.096,7.3,80/90/100,0
Neuron Max 88,2.24,0.112,2.84,8.5,0.088,6.7,80/90,0
Envoy 6F,1.78,0.079,2.01,6.0,0.07,5.3,90/100,0
Hyperform 4mm,0.28,0.036,0.91,2.7,0.011,0.8,150,1
Hyperglide 4mm,0.28,0.0367,0.93,2.8,0.011,0.8,150,1
Eclipse 2L 6mm,0.41,0.038,0.97,2.9,0.016,1.2,160,1
